,beats,dynamic
0,0,n
1,0,n
2,1,f
3,0,n
4,0,n
5,2,f
6,0,n
7,0,n
8,3,f
9,0,n
10,0,n
11,1,f
12,0,n
13,0,n
14,3,f
15,0,n
16,0,n
17,0,n
18,3,f
19,0,n
20,0,n
21,1,f
22,0,n
23,0,n
24,0,n
25,2,f
26,0,n
27,0,n
28,2,f
29,0,n
30,0,n
31,1,f
32,0,n
33,0,n
34,2,f
35,0,n
36,0,n
37,3,f
38,0,n
39,0,n
40,0,n
41,1,f
42,0,n
43,0,n
44,2,f
45,0,n
46,0,n
47,3,f
48,0,n
49,0,n
50,1,f
51,0,n
52,0,n
53,0,n
54,2,f
55,0,n
56,0,n
57,3,f
58,0,n
59,0,n
60,1,f
61,0,n
62,0,n
63,2,f
64,0,n
65,0,n
66,3,f
67,0,n
68,0,n
69,1,f
70,0,n
71,0,n
72,2,p
73,0,n
74,0,n
75,3,p
76,3,n
77,0,n
78,1,f
79,0,n
80,0,n
81,2,p
82,0,n
83,0,n
84,3,p
85,0,n
86,0,n
87,1,p
88,0,n
89,0,n
90,2,p
91,0,n
92,0,n
93,3,p
94,0,n
95,0,n
96,1,f
97,0,n
98,0,n
99,1,p
100,0,n
101,0,n
102,3,f
103,0,n
104,0,n
105,1,f
106,0,n
107,0,n
108,2,p
109,0,n
110,0,n
111,0,f
112,0,n
113,0,n
114,1,f
115,0,n
116,0,n
117,2,f
118,0,n
119,0,n
120,3,p
121,0,n
122,0,n
123,1,f
124,0,n
125,0,n
126,2,f
127,0,n
128,3,f
129,0,n
130,0,n
131,1,f
132,0,n
133,0,n
134,2,f
135,0,n
136,0,n
137,3,f
138,0,n
139,0,n
140,1,f
141,0,n
142,0,n
143,2,f
144,0,n
145,0,n
146,3,f
147,0,n
148,0,n